UF,MT
Cidade,BARAO DE MELGACO
Nome Posto,ILHA CAMARGO
Latitude,-17.057222222222222
Longitude,-56.58555555555556
Codigo,1756000
Qtd. Anos,53
Ano,Maxima
1968,50
1969,88.6
1970,57.2
1971,63
1972,75
1973,67.6
1974,60
1975,114
1976,70.4
1977,87
1978,99.9
1979,90.8
1980,109.4
1981,97.3
1982,133.3
1983,51
1984,64.8
1985,77.5
1986,63.4
1987,86.4
1988,84.5
1989,96.9
1990,35
1991,114.5
1992,78.7
1993,62.2
1994,67
1995,77.6
1996,64.1
1997,100.7
1998,121.6
1999,57.3
2000,120.2
2001,60.2
2002,56.6
2003,104.6
2004,100.1
2005,76.5
2006,62.8
2007,60.2
2008,87.5
2009,56.7
2010,108.8
2011,102.6
2012,87.7
2013,77.4
2014,96.4
2015,85.7
2016,78.5
2017,125.5
2018,132.2
2019,94.6
2020,22.1
