UF,MT
Cidade,NOBRES
Nome Posto,QUEBO
Latitude,-14.6525
Longitude,-56.12388888888889
Codigo,1456004
Qtd. Anos,45
Ano,Maxima
1972,62
1973,110.8
1974,90.2
1975,52.2
1976,62
1977,50
1978,65.4
1979,59
1980,205.2
1981,90
1982,92
1983,83
1984,93
1985,180
1986,124
1987,90
1988,145
1989,79.2
1990,110.4
1991,73
1992,95
1993,145
1994,115
1995,105
1996,143
1997,78
1998,63
1999,101.3
2000,107
2001,79
2002,104.7
2003,99.9
2004,125.2
2005,74
2006,63.8
2007,61.9
2008,93.3
2009,88.3
2010,117.4
2011,84.5
2012,76
2013,132.1
2014,115.1
2015,129.5
2016,82
