UF,AL
Cidade,PAO DE ACUCAR
Nome Posto,PAO DE ACUCAR
Latitude,-9.74861111111111
Longitude,-37.44972222222222
Codigo,937018
Qtd. Anos,80
Ano,Maxima
1935,66.2
1936,60.4
1937,52.3
1938,28.1
1939,25.1
1940,51
1941,60.9
1942,44.7
1943,37.6
1944,56.6
1945,93.8
1946,33.4
1947,35
1948,68.6
1949,67.5
1950,36
1951,25.4
1952,13.6
1953,15.7
1954,20
1955,15.2
1956,17.8
1957,20.4
1958,10
1959,66
1960,47
1961,30.6
1962,83.5
1963,91.3
1964,49.8
1965,40
1966,38.8
1967,71
1968,35
1969,57.7
1970,49
1971,33
1972,39.5
1973,67.5
1974,38.7
1975,96.6
1981,49
1982,33.2
1983,34.8
1984,36.5
1985,39
1986,88
1987,54
1988,39.5
1989,70.7
1990,48
1991,73.7
1992,51.9
1993,20.1
1994,54.5
1995,25
1996,37
1997,46.4
1998,32.4
1999,46.2
2000,29.6
2001,34.1
2002,71
2003,36.7
2004,79.5
2005,61.2
2006,57.4
2007,79.7
2008,83.8
2009,42.7
2010,70.5
2011,96.7
2012,27.3
2013,91.5
2014,49.8
2015,40.5
2016,37.7
2017,55.7
2018,49.9
2019,43
