UF,MA
Cidade,LAGO DA PEDRA
Nome Posto,LAGO DA PEDRA
Latitude,-4.560555555555555
Longitude,-45.12555555555556
Codigo,445009
Qtd. Anos,36
Ano,Maxima
1984,50
1985,67.2
1986,77
1987,80.2
1988,97.4
1989,117
1990,96
1991,68.1
1992,99.1
1993,93.7
1994,96.2
1995,77.1
1996,112.5
1997,73.4
1998,98.3
1999,82.8
2000,101.9
2001,58.5
2002,85.9
2003,112
2004,127
2005,133.3
2006,78.2
2007,86.7
2008,91.4
2009,88.1
2010,100.5
2011,92
2012,108.7
2013,70.1
2014,95.6
2015,140
2016,81.4
2017,88.9
2018,76.3
2019,81.6
