UF,MA
Cidade,LAGO DA PEDRA
Nome Posto,ANGICO
Latitude,-4.7427777777777775
Longitude,-45.18055555555555
Codigo,445007
Qtd. Anos,37
Ano,Maxima
1983,66.3
1984,121.2
1985,75.8
1986,64.6
1987,100
1988,85
1989,100
1990,45
1991,49.4
1992,78
1993,95.2
1994,195
1995,100
1996,87
1997,82.4
1998,78.8
1999,102.5
2000,84.6
2001,134.7
2002,72.9
2003,95.6
2004,105.8
2005,145.5
2006,117.8
2007,109.3
2008,103.5
2009,164.5
2010,94
2011,107.3
2012,52.1
2013,75.5
2014,54.5
2015,63.3
2016,68.1
2017,85.8
2018,109.2
2019,63.9
