UF,PB
Cidade,SAO JOAO DO RIO DO PEIXE
Nome Posto,ANTENOR NAVARRO
Latitude,-6.735277777777778
Longitude,-38.448055555555555
Codigo,638032
Qtd. Anos,107
Ano,Maxima
1913,88
1914,68.7
1915,63.3
1916,68.5
1917,57.1
1918,71.5
1919,67.2
1920,64.5
1921,74.5
1922,67.7
1923,58.3
1924,56.8
1925,78.5
1926,54.2
1927,67.3
1928,78.5
1929,66.4
1930,66.7
1931,65.3
1932,63
1933,74.3
1934,68.4
1935,108.6
1936,125.5
1937,108.7
1938,80.7
1939,90
1940,144.2
1941,70.7
1942,74.6
1943,98.4
1944,87.5
1945,131
1946,54.5
1947,112
1948,108
1949,112
1950,130.3
1951,199.3
1952,147.5
1953,185
1954,176
1955,117.5
1956,139
1957,150
1958,104
1959,75
1960,70
1961,84
1962,57.5
1963,106
1964,131
1965,39
1966,57.3
1967,90
1968,84.8
1969,77
1970,58.3
1971,73.3
1972,92
1973,137
1974,74
1975,95
1976,104
1977,112
1978,100
1979,80
1980,61
1981,79
1982,73
1983,75
1984,45.8
1985,105
1986,76
1987,85
1988,75
1989,82
1990,78
1991,94
1992,122
1993,92
1994,75
1995,92
1996,58
1997,115
1998,103
1999,73
2000,98
2001,66.6
2002,52
2003,94
2004,106
2005,59.5
2006,125
2007,61.5
2008,124.1
2009,85
2010,187
2011,110.3
2012,126
2013,78
2014,69.8
2015,48
2016,63
2017,119.5
2018,90
2019,56.2
