UF,BA
Cidade,RIBEIRA DO POMBAL
Nome Posto,RIBEIRA DO POMBAL (POMBAL)
Latitude,-10.823333333333332
Longitude,-38.545833333333334
Codigo,1038016
Qtd. Anos,53
Ano,Maxima
1942,42.6
1943,45.3
1944,38.4
1945,33.5
1946,51.2
1947,100
1948,30.8
1949,103.6
1950,33.3
1951,88.8
1952,84.4
1953,49.2
1954,108.2
1955,42
1956,54.5
1957,91.7
1958,88.9
1959,26.1
1960,119.9
1961,10.7
1962,14
1963,56.1
1964,28.1
1965,21.1
1966,40
1967,56.8
1968,28.7
1969,75
1970,45.3
1971,63.2
1972,69.4
1973,28.5
1974,50
1975,75
1976,92.4
1977,57.3
1978,50.2
1979,105.4
1980,47
1981,100.3
1982,20.3
1983,50.5
1984,75
1985,75.4
1986,50.8
1987,39.4
1988,100
1989,75.3
1990,52.3
1991,70
1998,25.3
1999,36.4
2000,54.3
