UF,ES
Cidade,ITAPEMIRIM
Nome Posto,BARRA DO ITAPEMIRIM (DNOS)
Latitude,-21.0075
Longitude,-40.83527777777778
Codigo,2140000
Qtd. Anos,73
Ano,Maxima
1947,51
1948,60.4
1949,54.6
1950,68.8
1951,69.6
1952,86.8
1953,54.6
1954,58.8
1955,45.4
1956,56.6
1957,54.8
1958,100.6
1959,72
1960,120.4
1961,62.6
1962,56
1963,62.4
1964,84
1965,63
1966,95.8
1967,55
1968,125
1969,42
1970,44.6
1971,80.6
1972,81.2
1973,122
1974,41
1975,64
1976,75
1977,96.2
1978,135.2
1979,147.6
1980,95.7
1981,98.3
1982,114.2
1983,127.3
1984,83.5
1985,67
1986,57
1987,75
1988,46.4
1989,60
1990,32.7
1991,38.2
1992,37.5
1993,50.8
1994,88.9
1995,67.7
1996,74.5
1997,88.4
1998,51.4
1999,66.8
2000,135.9
2001,51
2002,63
2003,94
2004,70.2
2005,86.7
2006,70.8
2007,61.3
2008,114
2009,71.4
2010,46.8
2011,40
2012,79.3
2013,78.8
2014,64.2
2015,38.8
2016,61.8
2017,83
2018,66.5
2019,68
