UF,SC
Cidade,BALNEARIO PICARRAS
Nome Posto,PICARRAS
Latitude,-26.755
Longitude,-48.69944444444444
Codigo,2648019
Qtd. Anos,39
Ano,Maxima
1976,80.8
1977,109.4
1978,88.2
1979,125
1980,91.6
1981,75
1982,99.3
1983,110.2
1984,139.2
1985,149
1986,77.3
1987,152.3
1988,79.6
1989,92.8
1990,69
1991,75
1992,95.3
1993,90
1994,118.5
1995,55
1996,52.1
1997,52.8
1998,103.5
1999,107.7
2000,85.6
2001,66.1
2002,77
2003,152
2004,110.7
2005,63.6
2006,58.4
2007,141.4
2008,230
2009,79.9
2013,56.1
2014,67.1
2017,47.3
2018,88.7
2019,63.7
