UF,SC
Cidade,TUBARAO
Nome Posto,RIO DO POUSO
Latitude,-28.419722222222223
Longitude,-49.106944444444444
Codigo,2849000
Qtd. Anos,80
Ano,Maxima
1939,42.6
1940,77.5
1941,51.2
1942,95.8
1943,43.2
1944,42.8
1945,44.6
1946,87.2
1947,47
1948,93.2
1949,69
1950,68.2
1951,52.5
1952,46.2
1953,108.6
1954,86.6
1955,61
1956,74.2
1957,77.9
1958,71.4
1959,60.8
1960,118.2
1961,84.6
1962,28.8
1963,54.8
1964,70.2
1965,84.4
1966,74
1967,56.2
1968,63.7
1969,58.2
1970,70.2
1971,119.8
1972,106
1973,125
1974,98.4
1975,50.8
1976,58.6
1977,122
1978,56.2
1979,75.8
1980,79.4
1981,121
1982,44
1983,100.4
1984,50.3
1985,148.9
1986,160.2
1987,82.2
1988,58.1
1989,66.8
1990,100.5
1991,70.8
1992,28.5
1993,83
1994,85
1995,138.2
1996,154.2
1997,60.2
1998,98
1999,57.9
2000,76.3
2001,127
2002,87
2003,68
2004,55.8
2005,105.2
2006,110.8
2007,70.4
2008,78.8
2009,104.8
2010,113.2
2011,101.4
2012,62.4
2014,43.3
2015,103.2
2016,118.8
2017,73.2
2018,54
2019,131.5
