UF,RS
Cidade,JAQUIRANA
Nome Posto,PASSO TAINHAS
Latitude,-28.8675
Longitude,-50.45611111111111
Codigo,2850009
Qtd. Anos,78
Ano,Maxima
1943,45
1944,40.6
1945,75.8
1946,101.6
1947,73.4
1948,65.8
1949,62.4
1950,96.8
1951,61.9
1952,63.4
1953,123.8
1954,83
1955,82.4
1956,81
1957,78.2
1958,92.7
1959,106.8
1960,88.2
1961,94
1962,49
1963,73.5
1964,60.2
1965,96.5
1966,59.2
1967,84.4
1968,56.3
1969,87.7
1970,62
1971,77.8
1972,70.1
1973,80.5
1974,68.2
1975,65.3
1976,102.2
1977,129.1
1978,75.2
1979,45.2
1980,91
1981,87.2
1982,67.4
1983,106.1
1984,68.2
1985,66.2
1986,85.2
1987,90.2
1988,96.4
1989,77.2
1990,66
1991,82
1992,78
1993,60.8
1994,71.8
1995,48.8
1996,61
1997,90.5
1998,71.9
1999,52
2000,71
2001,128.2
2002,73.4
2003,143
2004,41.8
2005,68.6
2006,61.7
2007,121
2008,75.6
2009,45.4
2010,71.5
2011,114.2
2012,58
2013,113
2014,74
2015,81
2016,121.4
2017,68.6
2018,54
2019,97.2
2020,64
