UF,RS
Cidade,CASEIROS
Nome Posto,PASSO DAS PEDRAS
Latitude,-28.255555555555556
Longitude,-51.86194444444445
Codigo,2851020
Qtd. Anos,55
Ano,Maxima
1963,75.1
1964,51
1965,100
1966,115
1967,74.8
1968,82.1
1969,59.2
1970,89
1971,89
1972,85
1973,91
1974,87.2
1975,75.7
1976,89.1
1977,112.3
1978,73.3
1979,79.1
1980,62.2
1981,50.3
1982,95.4
1983,113.2
1984,95.4
1985,97
1986,87.2
1987,122.2
1988,91.5
1989,102.8
1990,145
1991,91.5
1992,130.6
1993,75.2
1994,140
1995,52
1996,80.1
1997,152.9
1998,81.1
1999,65.1
2000,101.8
2001,150
2002,94.2
2003,97
2004,62
2005,111
2006,62.8
2007,154.2
2008,111.8
2009,97
2010,131
2011,98
2012,80.6
2016,98.6
2017,79.6
2018,79.3
2019,73.9
2020,49.9
