UF,RJ
Cidade,RIO DAS FLORES
Nome Posto,TABOAS
Latitude,-22.20861111111111
Longitude,-43.623333333333335
Codigo,2243007
Qtd. Anos,80
Ano,Maxima
1941,23
1942,70.6
1943,104.8
1944,60.2
1945,64.8
1946,64.8
1947,150.8
1948,90.8
1949,138
1950,140.6
1951,123.8
1952,108.2
1953,60.2
1954,52
1955,88.2
1956,71
1957,75.4
1958,80.4
1959,60.4
1960,75.8
1961,75.2
1962,120.8
1963,75.4
1964,50.4
1965,75.6
1966,99.9
1967,70.6
1968,60.8
1969,91.4
1970,70.8
1971,68.4
1972,64
1973,90.2
1974,52.4
1975,64.4
1976,75.2
1977,108.6
1978,111.6
1979,90.8
1980,83.6
1981,52.2
1982,63.8
1983,97.2
1984,43.8
1985,91.8
1986,82
1987,81.4
1988,88.2
1989,70.8
1990,46.2
1991,56.2
1992,85.6
1993,69
1994,86.4
1995,55.8
1996,68.4
1997,59.9
1998,74.5
1999,57
2000,64.3
2001,103.6
2002,50.5
2003,121.5
2004,103.3
2005,54
2006,93.3
2007,47
2008,114.5
2009,84
2010,74.3
2011,100.6
2012,61
2013,83
2014,53
2015,111.5
2016,100.2
2017,85.5
2018,53.3
2019,66
2020,51.2
