UF,RJ
Cidade,RESENDE
Nome Posto,FAZENDA AGULHAS NEGRAS
Latitude,-22.337777777777777
Longitude,-44.59027777777778
Codigo,2244039
Qtd. Anos,80
Ano,Maxima
1941,84.2
1942,94.6
1943,87.4
1944,135.4
1945,246.2
1946,105.6
1947,121.4
1948,90.4
1949,70
1950,90.3
1951,50.2
1952,84.4
1953,100.2
1954,83.5
1955,49.5
1956,74.1
1957,126
1958,91
1959,88.3
1960,126
1961,105.2
1962,70.3
1963,100
1964,90
1965,69.2
1966,170
1967,164
1968,110.4
1969,120
1970,50
1971,72
1972,93
1973,87.6
1974,136
1975,86.2
1976,76.8
1977,99.4
1978,117
1979,134
1980,120
1981,90.2
1982,113.6
1983,250.4
1984,170.8
1985,97
1986,128.6
1987,99
1988,80
1989,126.2
1990,68
1991,88
1992,97.6
1993,89.2
1994,124
1995,67.9
1996,105.5
1997,128.8
1998,113.9
1999,130.8
2000,205
2001,101.1
2002,82
2003,75.3
2004,130.7
2005,109.5
2006,94.2
2007,73
2008,110.6
2009,107.3
2010,76.1
2011,117.5
2012,67
2013,84.8
2014,145
2015,94.1
2016,157.8
2017,140.7
2018,98.9
2019,95.7
2020,49.3
