UF,RJ
Cidade,BARRA MANSA
Nome Posto,RIBEIRAO DE SAO JOAQUIM
Latitude,-22.303611111111113
Longitude,-44.18694444444444
Codigo,2244034
Qtd. Anos,79
Ano,Maxima
1942,90.2
1943,101.9
1944,94
1945,74.1
1946,88
1947,15.4
1948,90.2
1949,91
1950,142
1951,194.8
1952,132.4
1953,86.8
1954,63.4
1955,72
1956,81
1957,55.6
1958,114.8
1959,116.8
1960,90
1961,96.6
1962,124.8
1963,53.2
1964,67.2
1965,69.8
1966,90.4
1967,85.2
1968,116.4
1969,117.8
1970,110.2
1971,80.4
1972,99.2
1973,88.6
1974,95.4
1975,112.6
1976,68.4
1977,87
1978,142.4
1979,65.6
1980,91.6
1981,81.8
1982,99.6
1983,88.6
1984,85.4
1985,85.6
1986,69.4
1987,80.2
1988,103.5
1989,88.5
1990,148.9
1991,86.8
1992,129.9
1993,73.9
1994,73.5
1995,108.5
1996,124.8
1997,83.5
1998,91.3
1999,102.4
2000,78.6
2001,75.2
2002,64.5
2003,48.5
2004,67.3
2005,107.5
2006,80.9
2007,85
2008,74.3
2009,153.5
2010,113.5
2011,75
2012,77.5
2013,98.9
2014,49
2015,50.4
2016,89.3
2017,64.3
2018,87.7
2019,69.7
2020,65.1
