UF,SE
Cidade,PORTO DA FOLHA
Nome Posto,ILHA DO OURO
Latitude,-9.9
Longitude,-37.25
Codigo,937030
Qtd. Anos,45
Ano,Maxima
1936,10
1937,10
1938,10.1
1939,10.1
1940,10.1
1941,10.1
1942,9.9
1943,8.7
1944,10.1
1945,19.5
1946,15.9
1947,24.5
1948,38.5
1949,8.9
1950,39.5
1951,48.3
1952,8
1953,83
1954,8
1955,21
1956,8
1957,8
1958,38
1963,16.3
1964,32.4
1965,24
1966,24.6
1967,24.6
1968,9.7
1969,80
1970,28
1971,62.3
1972,62.3
1973,6.3
1974,16.5
1975,75
1976,25.8
1977,25.4
1978,25.1
1979,16.4
1980,8
1981,25
1982,25
1983,25
1984,25
