UF,MG
Cidade,PARAOPEBA
Nome Posto,PONTE DA TAQUARA
Latitude,-19.423333333333336
Longitude,-44.54833333333333
Codigo,1944031
Qtd. Anos,50
Ano,Maxima
1962,112.2
1963,70
1964,53.2
1973,103.8
1974,71.2
1975,76
1976,62
1977,97.2
1978,105.8
1979,119.4
1980,51.4
1981,83.8
1982,83.8
1983,75.6
1984,94
1985,60
1986,52.6
1987,75
1988,70.7
1989,60
1990,78.5
1991,65
1992,54
1993,75
1994,93
1995,78
1996,89
1997,89.8
1998,71.2
1999,68.7
2000,116.2
2001,49.5
2002,34.4
2003,58.7
2004,75.8
2005,48
2006,57
2007,110
2008,68.7
2009,68.7
2010,69
2011,78.3
2012,70.3
2013,91.3
2014,94.4
2015,70.4
2016,79.5
2017,64.4
2018,72.1
2019,96.2
